1866 3,921,143 436,099 438,022 436,099
1882 3,988,619 443,597 445,520 443,597
1898 4,056,671 451,159 453,082 451,159
1914 4,125,299 458,785 460,708 458,785
1930 4,194,503 466,475 468,398 466,475
1946 4,264,283 474,229 476,152 474,229
1962 4,334,639 482,047 483,970 482,047
1978 4,405,571 489,929 491,852 489,929
1994 4,477,079 497,875 499,798 497,875
2010 4,549,163 505,885 507,808 505,885
2026 4,621,823 513,959 515,882 513,959
2042 4,695,059 522,097 524,020 522,097
2058 4,768,871 530,299 532,222 530,299
10 2,424 607 2,424 607
26 2,426 682 2,426 682
42 2,434 820 2,434 820
58 2,539 1,033 2,623 1,033
74 2,999 1,314 3,234 1,314
90 3,512 1,644 3,564 1,644
106 3,938 2,038 3,958 2,038
122 4,437 2,496 4,416 2,496
138 4,998 3,018 4,938 3,018
154 5,605 3,605 5,524 3,605
170 6,277 4,255 6,174 4,255
186 7,007 4,969 6,888 4,969
202 7,799 5,747 7,666 5,747
218 8,656 6,589 8,508 6,589
234 9,578 7,495 9,414 7,495
250 10,559 8,465 10,384 8,465
266 11,610 9,499 11,418 9,499
282 12,720 10,597 12,516 10,597
298 13,895 11,759 13,678 11,759
314 15,136 12,985 14,904 12,985
330 16,439 14,275 16,194 14,275
346 18,167 15,629 17,548 15,629
362 19,390 17,047 18,966 17,047
378 21,101 18,529 20,448 18,529
394 91,006 20,075 21,994 20,075
410 124,357 21,685 23,604 21,685
426 71,750 23,359 25,278 23,359
442 80,813 25,097 27,016 25,097
458 102,638 26,899 28,818 26,899
474 106,850 28,765 30,684 28,765
490 192,944 30,695 32,614 30,695
506 239,833 32,689 34,608 32,689
522 289,210 34,747 36,670 34,747
538 326,601 36,869 38,792 36,869
554 346,818 39,055 40,978 39,055
570 368,193 41,305 43,228 41,305
586 388,589 43,619 45,542 43,619
602 410,464 45,997 47,920 45,997
618 432,157 48,439 50,362 48,439
634 454,626 50,945 52,868 50,945
650 478,343 53,515 55,438 53,515
666 502,043 56,149 58,072 56,149
682 501,169 58,847 60,770 58,847
698 541,950 61,609 63,532 61,609
714 576,599 64,435 66,358 64,435
730 602,603 67,325 69,248 67,325
10 2,424 607 2,424 607
26 2,426 682 2,426 682
42 2,434 820 2,434 820
58 2,539 1,033 2,623 1,033
74 2,999 1,314 3,234 1,314
90 3,512 1,644 3,564 1,644
106 3,938 2,038 3,958 2,038
122 4,437 2,496 4,416 2,496
138 4,998 3,018 4,938 3,018
154 5,605 3,605 5,524 3,605
170 6,277 4,255 6,174 4,255
186 7,007 4,969 6,888 4,969
202 7,799 5,747 7,666 5,747
218 8,656 6,589 8,508 6,589
234 9,578 7,495 9,414 7,495
250 10,559 8,465 10,384 8,465
266 11,610 9,499 11,418 9,499
282 12,720 10,597 12,516 10,597
298 13,895 11,759 13,678 11,759
314 15,136 12,985 14,904 12,985
330 16,439 14,275 16,194 14,275
346 18,167 15,629 17,548 15,629
362 19,390 17,047 18,966 17,047
378 21,101 18,529 20,448 18,529
394 91,006 20,075 21,994 20,075
410 124,357 21,685 23,604 21,685
426 71,750 23,359 25,278 23,359
442 80,813 25,097 27,016 25,097
458 102,638 26,899 28,818 26,899
474 106,850 28,765 30,684 28,765
490 192,944 30,695 32,614 30,695
506 239,833 32,689 34,608 32,689
522 289,210 34,747 36,670 34,747
538 326,601 36,869 38,792 36,869
554 346,818 39,055 40,978 39,055
570 368,193 41,305 43,228 41,305
586 388,589 43,619 45,542 43,619
602 410,464 45,997 47,920 45,997
618 432,157 48,439 50,362 48,439
634 454,626 50,945 52,868 50,945
650 478,343 53,515 55,438 53,515
666 502,043 56,149 58,072 56,149
682 501,169 58,847 60,770 58,847
698 541,950 61,609 63,532 61,609
714 576,599 64,435 66,358 64,435
730 602,603 67,325 69,248 67,325
746 629,183 70,279 72,202 70,279
762 656,339 73,297 75,220 73,297
778 684,071 76,379 78,302 76,379
794 712,379 79,525 81,448 79,525
810 741,263 82,735 84,658 82,735
826 770,723 86,009 87,932 86,009
842 800,759 89,347 91,270 89,347
858 831,371 92,749 94,672 92,749
874 862,559 96,215 98,138 96,215
890 894,323 99,745 101,668 99,745
906 926,663 103,339 105,262 103,339
922 959,579 106,997 108,920 106,997
938 993,071 110,719 112,642 110,719
954 1,027,139 114,505 116,428 114,505
970 1,061,783 118,355 120,278 118,355
986 1,097,003 122,269 124,192 122,269
1002 1,132,799 126,247 128,170 126,247
1018 1,169,171 130,289 132,212 130,289
1034 1,206,119 134,395 136,318 134,395
1050 1,243,643 138,565 140,488 138,565
1066 1,281,743 142,799 144,722 142,799
1082 1,320,419 147,097 149,020 147,097
1098 1,359,671 151,459 153,382 151,459
1114 1,399,499 155,885 157,808 155,885
1130 1,439,903 160,375 162,298 160,375
1146 1,480,883 164,929 166,852 164,929
1162 1,522,439 169,547 171,470 169,547
1178 1,564,571 174,229 176,152 174,229
1194 1,607,279 178,975 180,898 178,975
1210 1,650,563 183,785 185,708 183,785
1226 1,694,423 188,659 190,582 188,659
1242 1,738,859 193,597 195,520 193,597
1258 1,783,871 198,599 200,522 198,599
1274 1,829,459 203,665 205,588 203,665
1290 1,875,623 208,795 210,718 208,795
1306 1,922,363 213,989 215,912 213,989
1322 1,969,679 219,247 221,170 219,247
1338 2,017,571 224,569 226,492 224,569
1354 2,066,039 229,955 231,878 229,955
1370 2,115,083 235,405 237,328 235,405
1386 2,164,703 240,919 242,842 240,919
1402 2,214,899 246,497 248,420 246,497
1418 2,265,671 252,139 254,062 252,139
1434 2,317,019 257,845 259,768 257,845
1450 2,368,943 263,615 265,538 263,615
1466 2,421,443 269,449 271,372 269,449
1482 2,474,519 275,347 277,270 275,347
1498 2,528,171 281,309 283,232 281,309
1514 2,582,399 287,335 289,258 287,335
1530 2,637,203 293,425 295,348 293,425
1546 2,692,583 299,579 301,502 299,579
1562 2,748,539 305,797 307,720 305,797
1578 2,805,071 312,079 314,002 312,079
1594 2,862,179 318,425 320,348 318,425
1610 2,919,863 324,835 326,758 324,835
1626 2,978,123 331,309 333,232 331,309
1642 3,036,959 337,847 339,770 337,847
1658 3,096,371 344,449 346,372 344,449
1674 3,156,359 351,115 353,038 351,115
1690 3,216,923 357,845 359,768 357,845
1706 3,278,063 364,639 366,562 364,639
1722 3,339,779 371,497 373,420 371,497
1738 3,402,071 378,419 380,342 378,419
1754 3,464,939 385,405 387,328 385,405
1770 3,528,383 392,455 394,378 392,455
1786 3,592,403 399,569 401,492 399,569
1802 3,656,999 406,747 408,670 406,747
1818 3,722,171 413,989 415,912 413,989
1834 3,787,919 421,295 423,218 421,295
1850 3,854,243 428,665 430,588 428,665
1866 3,921,143 436,099 438,022 436,099
1882 3,988,619 443,597 445,520 443,597
1898 4,056,671 451,159 453,082 451,159
1914 4,125,299 458,785 460,708 458,785
1930 4,194,503 466,475 468,398 466,475
1946 4,264,283 474,229 476,152 474,229
1962 4,334,639 482,047 483,970 482,047
1978 4,405,571 489,929 491,852 489,929
1994 4,477,079 497,875 499,798 497,875
2010 4,549,163 505,885 507,808 505,885
2026 4,621,823 513,959 515,882 513,959
2042 4,695,059 522,097 524,020 522,097
2058 4,768,871 530,299 532,222 530,299
